GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1400000US48061010100,48061010100,"Census Tract 101, Cameron County, Texas",5131,2450,240,248,279,146,74,34,36,89,184,158,167,157,147,120,104,27,49,32,44,44,44,14,13,2681,217,279,232,156,97,51,28,124,190,174,185,178,174,152,105,34,41,30,51,82,54,23,24
1400000US48061010201,48061010201,"Census Tract 102.01, Cameron County, Texas",1676,836,88,95,92,39,26,20,13,28,65,55,59,63,42,41,37,3,10,7,14,19,11,4,5,840,56,70,96,62,30,10,15,35,65,64,68,64,51,37,30,10,14,8,12,15,10,6,12
1400000US48061010202,48061010202,"Census Tract 102.02, Cameron County, Texas",4371,2165,265,277,265,164,105,40,41,84,156,139,160,124,99,75,60,15,17,17,13,28,13,5,3,2206,258,257,223,106,85,31,34,113,176,177,169,164,110,91,66,18,30,16,20,28,17,10,7
1400000US48061010300,48061010300,"Census Tract 103, Cameron County, Texas",8027,3860,412,432,389,255,142,67,79,184,239,260,255,270,226,180,112,49,49,45,57,68,48,24,18,4167,371,457,443,253,146,55,49,162,281,317,309,301,244,180,149,61,73,38,82,99,43,23,31
1400000US48061010401,48061010401,"Census Tract 104.01, Cameron County, Texas",3789,1841,200,230,207,124,74,26,24,75,161,132,108,132,97,72,59,20,21,9,18,21,13,9,9,1948,201,208,209,109,67,31,21,104,154,145,156,147,111,95,48,14,26,14,21,44,13,4,6
1400000US48061010402,48061010402,"Census Tract 104.02, Cameron County, Texas",3100,1470,182,188,162,93,50,22,25,59,87,109,95,87,88,57,43,18,21,17,15,24,21,3,4,1630,160,193,173,101,56,28,22,62,129,123,129,103,80,88,46,13,24,15,22,28,19,7,9
1400000US48061010500,48061010500,"Census Tract 105, Cameron County, Texas",2870,1330,136,132,143,74,44,23,19,60,93,93,95,76,77,52,43,22,26,11,21,39,29,12,10,1540,158,140,131,83,54,20,21,55,104,101,98,93,77,86,47,16,36,21,43,59,47,29,21
1400000US48061010601,48061010601,"Census Tract 106.01, Cameron County, Texas",6314,3022,390,337,304,149,115,34,46,136,235,223,212,198,156,135,79,23,38,25,43,50,49,27,18,3292,366,323,281,156,118,42,45,159,274,252,244,189,168,169,114,33,51,42,46,69,76,39,36
1400000US48061010602,48061010602,"Census Tract 106.02, Cameron County, Texas",1168,557,53,56,47,28,21,8,7,10,37,38,40,41,34,46,35,3,9,7,11,9,10,5,2,611,66,53,51,29,11,13,4,18,44,34,45,45,54,41,34,7,9,16,8,12,10,6,1
1400000US48061010700,48061010700,"Census Tract 107, Cameron County, Texas",2667,1258,115,137,118,83,60,23,28,63,106,93,74,88,69,58,36,16,21,13,17,18,15,5,2,1409,142,127,126,80,57,26,20,81,94,99,91,93,73,77,47,17,24,19,24,40,27,11,14
1400000US48061010800,48061010800,"Census Tract 108, Cameron County, Texas",3952,1844,229,191,171,107,69,39,26,100,194,188,116,99,103,82,40,8,15,7,21,19,12,4,4,2108,250,209,145,119,73,36,35,144,222,158,161,135,119,92,61,19,27,16,29,28,18,4,8
1400000US48061010900,48061010900,"Census Tract 109, Cameron County, Texas",1824,877,92,95,88,43,26,16,12,39,77,56,62,48,46,37,31,10,7,7,21,29,20,7,8,947,81,70,92,49,30,16,15,48,68,54,74,63,50,40,28,15,20,16,27,40,22,14,15
1400000US48061011000,48061011000,"Census Tract 110, Cameron County, Texas",3664,1737,229,223,173,79,59,35,28,78,113,113,102,101,73,63,47,10,36,26,29,53,38,11,18,1927,186,184,162,94,61,22,32,77,146,129,104,101,84,99,67,34,58,39,40,90,61,32,25
1400000US48061011100,48061011100,"Census Tract 111, Cameron County, Texas",3044,1425,168,139,131,68,43,22,22,70,99,98,88,80,69,64,40,31,32,24,29,46,32,16,14,1619,149,125,132,90,45,28,15,72,126,104,97,77,98,78,56,26,36,25,54,64,71,28,23
1400000US48061011200,48061011200,"Census Tract 112, Cameron County, Texas",1457,662,62,68,87,40,31,7,10,29,45,49,45,47,29,27,26,6,14,4,9,14,7,4,2,795,60,83,71,46,29,12,10,38,50,69,60,47,52,35,33,11,18,15,17,19,10,4,6
1400000US48061011301,48061011301,"Census Tract 113.01, Cameron County, Texas",807,378,64,37,32,18,11,3,4,23,43,37,24,21,25,11,7,1,4,2,1,3,4,2,1,429,47,39,29,17,17,6,5,37,48,36,31,24,28,20,12,3,7,1,3,7,5,3,4
1400000US48061011302,48061011302,"Census Tract 113.02, Cameron County, Texas",1888,881,72,83,96,42,28,9,10,39,82,56,56,72,73,73,31,6,9,6,5,9,11,3,10,1007,80,82,86,58,15,18,8,52,85,81,79,95,90,71,33,5,17,4,8,12,3,13,12
1400000US48061011400,48061011400,"Census Tract 114, Cameron County, Texas",4170,2044,190,221,241,131,83,32,23,100,128,121,149,142,115,109,88,19,23,20,25,34,32,10,8,2126,211,165,213,111,75,29,30,77,143,156,196,156,137,108,84,24,37,25,39,43,27,18,22
1400000US48061011500,48061011500,"Census Tract 115, Cameron County, Texas",5329,2496,289,276,245,172,110,43,43,114,160,153,171,129,145,136,64,28,32,24,30,53,39,20,20,2833,283,284,261,179,115,46,47,116,183,199,214,169,164,122,103,36,38,31,52,68,59,29,35
1400000US48061011600,48061011600,"Census Tract 116, Cameron County, Texas",6531,3085,340,336,290,200,111,53,49,164,219,179,181,180,170,147,91,42,64,34,50,78,65,21,21,3446,310,319,299,224,122,63,47,163,239,232,221,204,178,165,140,66,76,41,61,93,76,54,53
1400000US48061011700,48061011700,"Census Tract 117, Cameron County, Texas",6482,3113,365,345,322,213,120,50,54,137,244,219,214,160,130,122,85,28,55,37,41,72,47,25,28,3369,336,355,283,162,106,58,52,167,274,255,230,192,163,132,135,53,80,31,56,102,74,25,48
