GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1400000US48061010100,48061010100,"Census Tract 101, Cameron County, Texas",6979,3445,280,340,390,239,140,54,53,134,186,180,215,213,212,169,150,65,78,70,55,103,59,33,27,3534,286,304,331,180,116,54,28,122,184,214,256,263,239,214,201,67,104,63,78,70,73,48,39
1400000US48061010201,48061010201,"Census Tract 102.01, Cameron County, Texas",1741,845,76,60,74,53,35,12,14,33,43,40,61,64,64,67,43,21,21,14,10,12,13,6,9,896,66,88,95,38,23,20,15,33,40,57,69,58,68,63,46,18,19,16,9,25,14,8,8
1400000US48061010203,48061010203,"Census Tract 102.03, Cameron County, Texas",5445,2636,235,292,254,169,112,68,66,132,172,136,170,150,177,135,107,35,54,23,34,41,41,27,6,2809,254,276,243,131,124,61,46,107,175,194,210,188,198,166,117,40,58,32,57,55,45,24,8
1400000US48061010301,48061010301,"Census Tract 103.01, Cameron County, Texas",5101,2513,239,241,271,152,100,42,37,116,152,152,132,159,156,158,124,41,59,31,30,51,37,25,8,2588,229,200,250,149,65,40,42,94,158,158,175,176,166,201,130,50,55,26,49,55,48,44,28
1400000US48061010302,48061010302,"Census Tract 103.02, Cameron County, Texas",6588,3198,304,366,364,177,114,36,35,113,216,240,236,208,174,176,143,58,71,35,30,48,30,20,4,3390,355,345,295,167,110,48,46,130,244,245,239,246,209,185,173,40,66,42,60,57,46,22,20
1400000US48061010401,48061010401,"Census Tract 104.01, Cameron County, Texas",4718,2342,216,239,251,139,76,43,29,84,159,180,146,145,145,142,110,38,51,22,30,46,24,20,7,2376,207,205,228,132,70,41,30,81,156,170,183,165,168,133,138,39,61,23,29,35,34,32,16
1400000US48061010402,48061010402,"Census Tract 104.02, Cameron County, Texas",4623,2229,240,237,231,116,73,30,28,92,153,152,122,140,110,128,132,28,59,25,24,49,28,18,14,2394,234,249,231,118,73,33,20,81,178,146,160,144,143,154,120,49,60,19,35,40,45,32,30
1400000US48061010500,48061010500,"Census Tract 105, Cameron County, Texas",2448,1172,119,114,126,66,31,8,15,39,66,89,78,61,77,51,68,24,21,13,17,33,17,17,22,1276,109,132,120,60,29,14,19,37,104,77,66,82,70,65,64,31,30,12,21,35,40,33,26
1400000US48061010601,48061010601,"Census Tract 106.01, Cameron County, Texas",7603,3626,429,390,351,203,124,54,50,137,266,234,230,224,225,172,152,64,71,39,44,59,58,24,26,3977,356,382,345,215,117,58,46,186,291,261,291,241,250,207,184,71,84,60,72,75,88,47,50
1400000US48061010602,48061010602,"Census Tract 106.02, Cameron County, Texas",1285,601,53,45,63,26,25,9,9,18,26,37,50,48,35,33,36,15,18,9,14,10,11,6,5,684,39,43,65,45,16,12,4,19,44,47,57,36,41,41,59,13,24,11,15,14,24,7,8
1400000US48061010700,48061010700,"Census Tract 107, Cameron County, Texas",2625,1271,129,113,115,82,42,19,24,66,97,72,75,83,51,81,64,27,44,7,24,31,12,8,5,1354,110,131,124,64,43,22,27,33,99,91,76,74,73,83,64,35,47,27,24,28,34,31,14
1400000US48061010800,48061010800,"Census Tract 108, Cameron County, Texas",5831,2767,360,282,253,218,107,64,52,150,254,218,169,125,126,116,86,40,37,11,27,25,20,19,8,3064,331,318,249,131,95,48,59,183,297,226,210,180,159,147,135,40,68,35,35,40,37,28,13
1400000US48061010900,48061010900,"Census Tract 109, Cameron County, Texas",1538,745,81,77,68,41,23,18,9,41,51,50,46,28,35,38,36,11,11,12,19,17,18,9,6,793,73,60,54,43,29,16,7,45,61,37,55,36,47,54,42,17,15,16,10,20,26,25,5
1400000US48061011000,48061011000,"Census Tract 110, Cameron County, Texas",3179,1524,149,147,162,79,39,28,21,62,93,100,83,89,91,76,68,30,33,17,23,32,45,35,22,1655,141,176,125,69,44,21,18,56,109,77,97,91,88,93,70,30,45,32,35,72,71,60,35
1400000US48061011100,48061011100,"Census Tract 111, Cameron County, Texas",2742,1313,133,118,107,84,45,28,20,62,77,74,78,82,73,71,63,26,39,17,18,33,34,18,13,1429,110,138,86,57,45,23,12,54,86,85,83,81,80,83,76,27,43,22,36,46,61,47,48
1400000US48061011200,48061011200,"Census Tract 112, Cameron County, Texas",1450,713,66,70,72,54,25,17,10,31,56,48,44,33,48,30,28,12,13,10,13,14,10,7,2,737,63,54,54,36,26,5,9,26,54,51,49,53,49,45,41,12,16,10,18,25,26,11,4
1400000US48061011301,48061011301,"Census Tract 113.01, Cameron County, Texas",1140,548,68,61,64,29,18,11,11,27,50,28,54,28,21,22,19,7,7,3,1,10,4,3,2,592,45,66,51,31,21,4,6,32,41,57,44,54,26,28,21,5,15,3,6,13,13,7,3
1400000US48061011302,48061011302,"Census Tract 113.02, Cameron County, Texas",2163,1007,65,101,96,53,37,13,14,31,83,63,71,59,53,71,50,27,35,17,12,16,13,16,11,1156,87,80,79,51,31,16,12,53,85,92,86,75,80,81,76,22,38,13,19,17,23,12,28
1400000US48061011400,48061011400,"Census Tract 114, Cameron County, Texas",5371,2634,218,254,258,186,85,42,35,110,153,160,177,138,158,157,160,51,69,40,60,55,32,25,11,2737,197,222,268,133,97,39,27,85,150,162,194,197,194,216,158,58,77,40,43,68,57,32,23
1400000US48061011500,48061011500,"Census Tract 115, Cameron County, Texas",5347,2571,280,277,263,162,95,35,40,110,195,165,141,143,144,108,132,44,59,18,38,44,41,24,13,2776,265,263,219,142,116,45,35,128,208,183,166,155,174,142,146,60,51,39,41,69,56,39,34
1400000US48061011600,48061011600,"Census Tract 116, Cameron County, Texas",6627,3241,367,358,323,180,94,45,36,122,209,222,189,157,190,148,145,53,73,34,48,103,62,52,31,3386,314,298,306,167,106,34,45,130,215,219,211,202,186,168,163,61,85,62,77,134,78,61,64
1400000US48061011700,48061011700,"Census Tract 117, Cameron County, Texas",6523,3167,381,367,329,191,112,54,47,102,207,183,208,166,190,155,115,47,54,24,35,69,52,50,29,3356,330,333,320,175,110,43,56,107,211,233,206,210,203,163,141,50,70,56,57,101,63,61,57
1400000US48061011801,48061011801,"Census Tract 118.01, Cameron County, Texas",4874,2237,266,230,216,127,72,35,27,104,208,132,135,129,103,91,80,20,53,32,26,41,37,33,40,2637,263,238,208,106,73,42,47,126,218,153,166,175,115,98,113,47,48,41,44,76,63,78,99
1400000US48061011802,48061011802,"Census Tract 118.02, Cameron County, Texas",3627,1764,158,153,200,114,67,26,28,74,113,102,118,102,94,123,92,35,39,15,20,32,28,19,12,1863,158,171,189,97,49,25,13,76,114,118,140,99,108,105,115,32,53,18,30,58,37,33,25
1400000US48061011901,48061011901,"Census Tract 119.01, Cameron County, Texas",5258,2442,227,280,249,160,99,36,38,101,140,142,153,118,134,123,98,36,56,37,50,54,55,38,18,2816,235,253,264,144,97,44,29,94,175,168,197,181,174,154,142,51,59,42,48,91,84,51,39
1400000US48061011902,48061011902,"Census Tract 119.02, Cameron County, Texas",3455,1679,156,177,175,104,52,16,23,53,101,108,120,103,88,100,95,30,55,29,21,29,25,12,7,1776,154,189,135,112,51,23,29,58,108,126,110,121,119,107,101,29,59,17,19,42,32,20,15
1400000US48061011903,48061011903,"Census Tract 119.03, Cameron County, Texas",2455,1155,119,123,119,82,40,9,19,44,59,70,72,77,65,77,32,19,30,10,22,19,30,9,9,1300,120,137,145,89,47,14,18,68,71,75,111,69,76,52,49,23,35,10,17,20,27,18,9
1400000US48061012001,48061012001,"Census Tract 120.01, Cameron County, Texas",3713,1761,173,160,199,118,49,26,19,69,91,122,128,104,116,98,91,31,44,16,38,27,23,7,12,1952,148,152,205,127,73,25,19,69,98,155,136,134,152,128,114,42,43,18,23,37,23,18,13
1400000US48061012002,48061012002,"Census Tract 120.02, Cameron County, Texas",4177,2027,191,196,212,133,71,32,22,72,97,124,141,114,159,146,92,34,53,26,25,44,20,14,9,2150,161,199,213,115,56,30,28,75,116,156,147,171,174,146,107,32,40,24,28,61,37,18,16
1400000US48061012101,48061012101,"Census Tract 121.01, Cameron County, Texas",3713,1789,158,172,196,111,64,21,29,81,102,115,119,110,106,102,86,41,37,26,22,21,36,23,11,1924,161,177,159,103,74,35,20,82,115,125,135,143,116,107,109,41,58,17,26,51,34,21,15
1400000US48061012102,48061012102,"Census Tract 121.02, Cameron County, Texas",5588,2700,287,288,304,198,106,47,38,117,143,168,166,166,152,113,131,41,57,28,31,65,28,20,6,2888,294,335,302,173,108,44,54,103,154,182,227,199,145,130,118,47,49,36,50,65,35,23,15
1400000US48061012200,48061012200,"Census Tract 122, Cameron County, Texas",9884,4859,482,518,518,372,187,94,87,194,316,291,303,331,300,252,192,55,84,52,54,76,50,30,21,5025,466,470,558,392,176,81,87,163,333,311,357,398,307,257,198,72,84,47,49,93,59,42,25
1400000US48061012301,48061012301,"Census Tract 123.01, Cameron County, Texas",2400,1419,88,103,78,58,75,32,24,99,160,154,131,105,92,73,56,14,20,14,11,17,8,6,1,981,89,68,75,58,40,9,15,41,68,71,66,71,69,93,50,19,23,8,15,10,7,9,7
1400000US48061012304,48061012304,"Census Tract 123.04, Cameron County, Texas",3571,1686,210,159,152,65,65,28,29,82,133,108,110,106,99,94,82,29,42,16,19,21,27,7,3,1885,197,182,141,96,53,28,22,80,130,128,133,103,109,119,99,39,44,22,30,48,43,18,21
1400000US48061012305,48061012305,"Census Tract 123.05, Cameron County, Texas",924,444,20,32,26,26,11,6,6,18,30,28,23,26,34,37,31,10,19,13,10,19,9,5,5,480,28,34,31,16,8,5,4,21,30,33,36,36,40,37,45,16,12,9,11,11,5,5,7
1400000US48061012401,48061012401,"Census Tract 124.01, Cameron County, Texas",5963,2924,339,334,364,181,93,32,35,123,190,180,220,173,168,142,89,41,65,24,26,48,28,18,11,3039,259,322,313,186,100,46,53,102,222,199,264,189,176,156,144,57,64,35,37,45,33,22,15
